TIC_ID,RA,DEC,Target_Magnitude,Target_Temperature,Target_Radius,Target_Mass,Target_Luminosity,Neighbor_Count,Nearest_Distance_arcsec,Nearest_Magnitude,Brightest_Neighbor_Magnitude,Mean_Neighbor_Magnitude,Total_Neighbor_Flux,Sector,LightCurve_File,Transit_Detected,Detected_Period_days,Transit_Depth,Transit_Duration_hours,Signal_to_Noise,Predicted_Class,Confidence,True_Label
10591128.0,340.374119722475,33.3048172478178,9.9755,,,,,4,5.007044980842187,15.639,13.281,15.5438,8.3821768761713e-06,56,,,,,,,,,
10591130.0,340.282880516998,33.3026882240899,10.8407,6068.0,1.32055,1.133,,2,2.4036870549358023,16.4183,16.4183,18.35535,2.784586038288247e-07,56,,,,,,,,,
10591281.0,340.319147372474,33.1164808240638,10.0394,5686.95,1.26198,1.012,,4,9.850734827211927,16.936,15.9471,17.893275,6.286206278551911e-07,56,,,,,,,,,
10591414.0,340.317909621394,32.9627994678265,11.7177,5219.72,0.867334,0.889,,3,3.1714645584080356,18.2755,16.674,17.2305,4.6395036993835875e-07,56,,,,,,,,,
10591437.0,340.3327134264,32.9305161480245,9.12567,5359.0,,,,2,0.3270391422591997,9.12567,9.12567,13.771885,0.00022377693651520297,56,,,,,,,,,
10591518.0,340.36090809615,32.8508450694322,10.6732,6444.0,2.95305,1.3,,3,4.746380695745652,17.0569,17.0569,18.037533333333332,2.2900738524974597e-07,56,,,,,,,,,
10591529.0,340.307562484115,32.8426722583472,9.7911,4401.0,20.8742,,,5,3.4722147980805915,17.5263,17.5263,19.047620000000002,1.826902359068494e-07,56,,,,,,,,,
10591567.0,340.314205785281,32.7997152279023,6.7712,4078.0,64.794,,,4,7.660836461509889,17.1152,16.561,17.847925,4.7546769813890633e-07,56,,,,,,,,,
10591667.0,340.360825549649,32.6848662804907,11.2727,4609.78,13.3851,,,3,15.514033660231682,15.0714,15.0714,17.074166666666667,1.4984891384271912e-06,56,,,,,,,,,
10591692.0,340.300009836887,32.6541165172198,10.57,4657.65,5.24653,,,6,5.472572568796885,16.4632,16.3479,17.949183333333334,7.903328690449517e-07,56,,,,,,,,,
10591740.0,340.268772832169,32.5823808767742,11.2171,4890.69,3.62356,,,1,21.389946981582987,20.0996,20.0996,20.0996,9.123468984666208e-09,56,,,,,,,,,
10591761.0,340.388531240215,32.5571176469721,14.7153,3168.0,0.204338,0.1733,,6,14.154451711859913,17.1679,16.267,17.72655,7.931915416998844e-07,56,,,,,,,,,
10591919.0,340.280037737861,32.3652931012169,11.3848,7169.57,1.66658,1.6,,1,27.43404641468676,15.897,15.897,15.897,4.3772363793476517e-07,56,,,,,,,,,
10591934.0,340.319322981378,32.3472708848054,8.8788,5194.0,13.125,,,6,11.473504286447994,20.2683,16.8342,18.663349999999998,4.976923440079365e-07,56,,,,,,,,,
10591979.0,340.322846061782,32.2992562916128,10.6017,6433.0,2.4906,1.3,,4,7.016473983072361,19.8993,17.0637,18.344224999999998,2.9165815649374174e-07,56,,,,,,,,,
